Price,Status Text,Status Type,Area,Beds,Baths,State,City,Street,Zipcode
"420,000",FOR_SALE,FOR_SALE,2353 sqft,4,3.0,CO,Colorado Springs,4077 Creek Legend Vw,80911
"187,900",FOR_SALE,FOR_SALE,1482 sqft,2,0.0,CO,Walsenburg,402 E 6th St,81089
"2,150,000",FOR_SALE,FOR_SALE,5734 sqft,5,4.0,CO,Estes Park,3501 Devils Gulch Road,80517
"450,000",FOR_SALE,FOR_SALE,1640 sqft,3,3.0,CO,Northglenn,2351 E 111th Drive,80233
"975,000",FOR_SALE,FOR_SALE,2909 sqft,4,3.0,CO,Denver,1920 S Adams Street,80210
"515,000",FOR_SALE,FOR_SALE,2746 sqft,3,3.0,CO,Colorado Springs,7528 Lost Pony Pl,80922
"574,900",FOR_SALE,FOR_SALE,3532 sqft,4,3.0,CO,Colorado Springs,6579 Roubideau Creek Way,80923
"389,000",FOR_SALE,FOR_SALE,1764 sqft,4,2.0,CO,Fountain,312 Cumming Ave,80817
"565,000",FOR_SALE,FOR_SALE,1824 sqft,3,2.0,CO,Cascade,9610 Mohawk Trl,80809
"599,000",FOR_SALE,FOR_SALE,3139 sqft,5,4.0,CO,Colorado Springs,8913 Stony Creek Dr,80924
"429,900",FOR_SALE,FOR_SALE,1824 sqft,4,2.0,CO,Strasburg,1599 Adams Street,80136
"75,000",FOR_SALE,FOR_SALE,None sqft,,,CO,Kremmling,114 GCR 280,80459
"499,000",FOR_SALE,FOR_SALE,1703 sqft,2,3.0,CO,Longmont,1663 Venice Ln,80503
"515,000",FOR_SALE,FOR_SALE,1978 sqft,3,2.0,CO,Wheat Ridge,3530 Lee St,80033
"720,000",FOR_SALE,FOR_SALE,2714 sqft,4,4.0,CO,Castle Pines,7469 Berkeley Court,80108
"799,000",FOR_SALE,FOR_SALE,3931 sqft,4,3.0,CO,Longmont,2444 Eagleview Cir,80504
"599,999",FOR_SALE,FOR_SALE,2241 sqft,4,3.0,CO,Centennial,5389 S Bahama Court,80015
"417,400",FOR_SALE,FOR_SALE,1561 sqft,3,3.0,CO,Colorado Springs,"Topaz Plan, The Pines at Forest Meadows",80908
"320,000",FOR_SALE,FOR_SALE,1140 sqft,3,2.0,CO,Grand Junction,3185 Kennedy Ave,81504
"560,990",FOR_SALE,FOR_SALE,1589 sqft,3,3.0,CO,Littleton,"Breckenridge Plan, Prospect Village at Sterling Ranch: Paired Homes",80125
"573,990",FOR_SALE,FOR_SALE,1764 sqft,3,3.0,CO,Littleton,"Telluride Plan, Prospect Village at Sterling Ranch: Paired Homes",80125
"319,000",FOR_SALE,FOR_SALE,966 sqft,2,2.0,CO,Littleton,4451 S Ammons Street  Unit 106,80123
"329,000",FOR_SALE,FOR_SALE,1512 sqft,2,3.0,CO,Jefferson,374 Cumberland Dr,80456
